  3097912 DSCT              2.6691  0.0344  8027   285 0.23 1.3870  0.041
  3098015 DSCT              1.0071  0.0309  7528   266 0.50 1.4947  0.042
  3103576 GDORS             1.6141  0.0248  7263   278 0.33 0.7469  0.041
  3119604 DSCT              2.1139  0.0329  8352   289 0.23 1.0690  0.041
  3120057 DSCT              0.7146  0.0258  7305   273 0.49 1.5131  0.043
  3123138 DSCT/ROT          1.1031  0.0267  7081   245 0.40 1.3132  0.042
  3127911 DSCT/ROT          1.3790  0.0269  8684   306 0.29 1.6451  0.042
  3127996 GDORM             1.6650  0.0460  7638   270 0.27 0.9454  0.042
  3217554 DSCT              1.8731  0.0311  7945   154 0.27 1.6357  0.041
  3218637 DSCT              2.9323  0.0263  7329   268 0.22 0.8066  0.041
  3219256 DSCT              6.5467  0.0367  7500   147 0.13 0.9949  0.041
  3222364 GDORM             1.7168  0.0241  6731   138 0.27 0.9922  0.041
  3222854 GDORM             1.0357  0.0225  6720   202 0.45 1.0353  0.042
  3223460 DSCT              0.6151  0.0180  8076   278 0.56 1.0814  0.042
  3230884 DSCT/ROT          3.4416  0.4523  7696   270 0.15 0.2174  0.061
  3231406 DSCT/ROT          1.5521  0.0280  7945   274 0.27 1.4470  0.041
  3238073 DSCT              0.8043  0.0158  7372   274 0.46 0.9579  0.042
  3238245 GDORM/ROT         0.6885  0.0170  7255   279 0.50 0.9807  0.042
  3239508 DSCT              0.5348  0.0161  8152   280 0.55 1.2470  0.042
  3240231 DSCT              0.8744  0.0219  7237   280 0.45 1.0430  0.042
  3240556 DSCT              1.8977  0.0292  8564   304 0.20 1.3536  0.041
  3240967 GDORS/GDORA       0.6424  0.0158  7306   275 0.52 0.9773  0.042
  3241388 DSCT/ROT          0.6974  0.0167  7344   275 0.51 1.1575  0.042
  3245420 DSCT              1.2012  0.0277  8017   278 0.34 1.6543  0.042
  3247039 DSCT              0.4503  0.0178  7497   269 0.66 1.5548  0.043
  3323168 DSCT              1.4497  0.0253  7548   269 0.32 1.0759  0.041
  3337002 DSCT              0.7799  0.0285  7344   266 0.46 1.9464  0.043
  3338680 DSCT              0.7381  0.0204  7122   262 0.46 1.2335  0.042
  3340360 DSCT              0.5826  0.0186  7443   270 0.50 1.0239  0.042
  3345665 GDORS             0.5779  0.0652  6958   253 0.53 1.1687  0.057
  3346027 DSCT              0.9171  0.0235  7290   283 0.54 1.0002  0.042
  3346195 DSCT              1.0496  0.0288  7652   270 0.41 1.2596  0.042
  3348390 GDORA             1.9377  0.0253  7285   140 0.20 0.8469  0.041
  3348714 GDORM             0.5960  0.0174  7336   275 0.54 0.9883  0.042
  3425802 DSCT              1.4875  0.0396  8191   284 0.31 1.2087  0.042
  3426991 DSCT              0.5879  0.0286  7594   265 0.63 1.3133  0.044
  3427727 DSCT              2.7177  0.0300  6767   228 0.23 1.4187  0.041
  3429637 DSCT              4.7411  0.0745  7100   152 0.12 1.4986  0.041
  3437940 DSCT              2.4525  0.0331  7700   157 0.17 1.7905  0.041
  3440495 DSCT              2.3954  0.0233  7555   275 0.18 1.0141  0.041
  3440840 GDORM             0.7331  0.0147  6778   216 0.46 1.0375  0.042
  3440985 DSCT              0.6089  0.1465  7438   268 0.49 1.5073  0.093
  3441159 DSCT              1.3361  0.1033  7150   264 0.29 1.1725  0.049
  3441864 DSCT              0.8309  0.0346  8535   310 0.44 1.3169  0.043
  3443127 DSCT              5.3686  0.6930  7680   267 0.10-0.3301  0.061
  3444098 DSCT              0.1817  0.0225  8815   317 0.58 1.9211  0.059
  3445406 GDORM             0.7809  0.0156  7104   265 0.46 1.0244  0.042
  3445468 GDORM             0.6113  0.0149  7142   285 0.50 0.9493  0.042
  3446471 DSCT              0.6399  0.0227  7265   266 0.50 1.6019  0.043
  3446996 GDORS             0.6831  0.0221  7269   275 0.49 0.9951  0.043
  3448475 DSCT              0.9158  0.0179  7680   269 0.54 0.9218  0.042
  3449625 GDORS             0.8735  0.0146  7552   270 0.45 0.8776  0.041
  3453272 GDORS             0.8718  0.0160  6997   247 0.47 0.8616  0.041
  3453494 DSCT              3.3247  0.0309  7950   154 0.19 1.1010  0.041
  3454731 DSCT              4.0155  0.0226  7074   258 0.18 0.8934  0.041
  3455863 DSCT              0.6141  0.0144  6988   256 0.58 1.2150  0.042
  3456198 DSCT              0.7985  0.0234  7826   270 0.52 1.3157  0.042
  3456605 DSCT              0.3563  0.0251  7300   275 0.70 1.8073  0.048
  3456780 DSCT              0.9868  0.0248  7768   273 0.40 0.9949  0.042
  3458318 DSCT              0.6460  0.0442 10289   378 0.59 1.7038  0.047
  3529242 DSCT              0.5527  0.0190  7605   265 0.64 1.0687  0.043
  3532510 DSCT              0.9380  0.0213  7080   245 0.50 1.0992  0.042
  3533854 GDORA             1.0630  0.0207  7079   249 0.43 0.8147  0.042
  3539153 GDORS             1.6837  0.0579  7450   140 0.27 0.9908  0.043
  3539869 DSCT              0.5172  0.0169  7315   276 0.52 1.1035  0.043
  3540952 GDORM             0.9070  0.0237  6937   238 0.52 0.9884  0.042
  3542566 DSCT              0.7447  0.0255  8265   289 0.46 1.0812  0.043
  3546765 DSCT/ROT          1.0440  0.0244  8373   289 0.40 1.0771  0.042
  3547523 DSCT              1.0092  0.0242  7500   266 0.40 1.1139  0.042
  3548369 DSCT              0.5703  0.0222  7851   270 0.52 1.3359  0.043
  3548900 DSCT              1.6653  0.0297  7525   271 0.26 1.0605  0.041
  3555191 DSCT              1.6438  0.0291  7405   273 0.27 0.9421  0.041
  3556847 DSCT              0.5976  0.0243  7510   271 0.58 1.3432  0.043
  3558145 DSCT              1.4559  0.0318  7488   264 0.27 1.1757  0.042
  3560660 DSCT              0.8792  0.0331  8869   327 0.49 1.6388  0.043
  3561700 DSCT/SPB          0.2015  0.0328 11044   383 0.82 1.8640  0.070
  3627370 GDORS             1.1318  0.0266  7016   234 0.48 0.9789  0.042
  3634384 DSCT              1.6254  0.0270  7621   267 0.32 1.1213  0.041
  3641023 DSCT              1.0100  0.0260  7912   275 0.40 1.0606  0.042
  3645863 GDORM             0.5711  0.0141  7547   271 0.51 1.0594  0.042
  3648131 DSCT/EB           0.6458  0.0153  7619   267 0.49 1.0807  0.042
  3650040 GDORS             1.0195  0.0302  7123   285 0.39 0.8296  0.042
  3654076 GDORA             0.8540  0.0285  6788   213 0.45 1.1131  0.043
  3655513 DSCT              1.3128  0.0348  7061   267 0.34 1.5979  0.042
  3657843 GDORM             1.0689  0.0252  6600   180 0.41 1.2975  0.042
  3660006 DSCT              0.8770  0.0401  7790   271 0.48 1.1666  0.044
  3660828 DSCT              1.0698  0.0290  8410   304 0.41 1.1071  0.042
  3661206 GDORM             0.8329  0.0273  7158   285 0.53 1.0831  0.043
  3731292 DSCT/EB           0.7582  0.0204  6806   238 0.62 1.3616  0.042
  3734682 GDORM             0.8660  0.0119  6968   241 0.56 0.9472  0.041
  3744309 DSCT              0.7475  0.0137  7704   267 0.46 1.0981  0.041
  3747373 DSCT              0.7010  0.0203  7267   269 0.47 1.2069  0.042
  3748250 DSCT/ROT          0.5466  0.0188  7550   269 0.51 1.3417  0.043
  3748748 GDORA             1.4296  0.0262  7511   269 0.26 0.8582  0.041
  3749833 DSCT              0.6745  0.0195  7296   280 0.48 0.9051  0.042
  3756846 GDORM             0.0967  0.0426 10996   393 0.67 2.1057  0.159
  3757814 DSCT              0.5084  0.0179  7470   268 0.59 1.1923  0.043
  3758403 GDORM             0.9101  0.0253  6853   234 0.54 1.0554  0.042
  3760002 DSCT              2.0336  0.1872  7176   279 0.21 1.1222  0.052
  3761641 DSCT              1.5676  0.0334  8298   296 0.24 1.2394  0.042
  3763579 DSCT              0.2510  0.0161  8480   306 0.79 1.8360  0.047
  3833853 DSCT/ROT          0.6164  0.0197  7536   266 0.65 1.0963  0.042
  3848351 GDORS             0.6176  0.0153  6982   277 0.49 1.0159  0.042
  3848645 DSCT/EB           0.6142  0.0271  7992   280 0.49 1.9367  0.044
  3849354 DSCT              0.5247  0.0256  6683   188 0.51 1.5845  0.044
  3849414 GDORM             0.9427  0.0199  7076   245 0.48 0.9604  0.042
  3850810 DSCT              2.7263  0.0254  7100   264 0.15 1.0596  0.041
  3851151 DSCT/ROT          1.6481  0.0306  8300   305 0.26 1.6611  0.041
  3853654 DSCT              0.7245  0.0263  7967   277 0.47 1.2835  0.043
  3854031 DSCT/ROT          0.8052  0.0268  7945   279 0.45 1.2229  0.043
  3855001 DSCT              1.1124  0.0260  7049   244 0.39 1.1750  0.042
  3858884 DSCT/EB           1.8090  0.0317  6600   217 0.20 2.0956  0.041
  3858926 GDORM             0.7126  0.0197  7267   281 0.48 1.0356  0.042
  3861094 GDORS/GDORA       0.7260  0.0162  6869   241 0.50 0.8998  0.042
  3861139 DSCT              1.0071  0.0289  6662   188 0.40 1.4716  0.042
  3862244 DSCT              0.6935  0.0250  8072   281 0.52 1.3570  0.043
  3863594 DSCT              0.6456  0.0288  7137   249 0.56 1.3908  0.044
  3864417 DSCT              0.6724  0.0266  6991   235 0.57 1.5122  0.043
  3865358 DSCT              0.5231  0.0181  8017   282 0.64 1.2343  0.043
  3866552 GDORM             0.6998  0.0145  6828   234 0.58 1.1363  0.042
  3866714 GDORS             0.7276  0.0141  6815   220 0.57 1.0522  0.042
  3867256 DSCT/ROT          0.6247  0.0214  7318   282 0.62 1.3619  0.043
  3867593 GDORS             0.5124  0.0140  7181   284 0.68 1.3078  0.042
  3867778 GDORS             0.7384  0.0149  7044   241 0.58 1.1329  0.042
  3868284 DSCT              0.8462  0.0247  7592   267 0.54 1.4956  0.042
  3868382 GDORS             2.0397  0.0222  6765   184 0.21 0.9385  0.041
  3868588 DSCT/ROT          0.6568  0.0145  7645   271 0.62 1.2076  0.042
  3869794 DSCT              0.5770  0.0157  7111   275 0.67 1.3106  0.042
  3941283 DSCT              2.8288  0.0276  7947   274 0.20 0.9683  0.041
  3942280 DSCT              0.1295  0.0251  8947   341 0.67 2.5815  0.079
  3942392 GDORS             4.2793  0.0462  6800   205 0.14 0.7412  0.041
  3942911 DSCT              2.0174  0.0473  7438   267 0.24 1.0482  0.042
  3952623 DSCT/ROT          1.2155  0.0258  6949   265 0.35 1.0291  0.042
  3964128 GDORS             1.1564  0.0243  6946   243 0.32 0.9525  0.042
  3965201 DSCT              0.5950  0.0256  7774   269 0.54 1.4928  0.044
  3966273 DSCT              0.6385  0.0162  7292   273 0.54 1.2766  0.042
  3966357 GDORS             1.6894  0.0267  7602   269 0.26 1.0610  0.041
  3966434 DSCT/ROT          0.6574  0.0200  7310   278 0.54 0.9103  0.042
  3967085 GDORM             1.2215  0.0243  6755   228 0.34 0.7878  0.042
  3967268 DSCT              0.6603  0.0256  7168   271 0.55 1.7158  0.043
  3967333 DSCT              1.2848  0.0269  6955   201 0.35 1.1783  0.042
  3968961 DSCT              0.5490  0.0242  7211   282 0.62 1.7181  0.044
  3969800 DSCT              0.9544  0.0332  7690   273 0.39 1.4555  0.043
  3970729 DSCT              1.6510  0.0231  7307   276 0.29 0.9636  0.041
  3971170 GDORS             0.7179  0.0145  6724   249 0.57 0.9781  0.042
  3972467 GDORS             0.9345  0.0225  7058   256 0.45 1.1033  0.042
  3973432 DSCT              0.5970  0.0157  7048   281 0.65 1.2770  0.042
  3975085 DSCT              0.7357  0.0309  7849   269 0.60 1.8185  0.044
  4035667 DSCT/ROT          2.6862  0.0345  8100   281 0.25 1.1346  0.041
  4042590 DSCT              2.0484  0.0258  7217   279 0.22 0.9451  0.041
  4044353 DSCT              2.7172  0.0368  8000   294 0.20 1.1703  0.041
  4048494 DSCT              1.6277  0.0317  7765   269 0.30 1.8104  0.042
  4050047 GDORS             1.7315  0.0268  7631   268 0.25 0.9783  0.041
  4054968 DSCT              0.6796  0.0169  7163   285 0.47 0.9777  0.042
  4057293 GDORS             0.7216  0.0170  6691   213 0.46 0.7974  0.042
  4066281 GDORS             2.2445  0.0253  7220   264 0.21 0.9805  0.041
  4067389 GDORM             2.2740  0.0251  7599   266 0.21 0.9678  0.041
  4069477 GDORS             1.9915  0.0289  7333   268 0.19 0.8910  0.041
  4072582 DSCT              0.9876  0.0232  7894   271 0.38 1.3601  0.042
  4074388 GDORM             1.0452  0.0202  7140   248 0.41 0.9859  0.042
  4076350 GDORS/GDORA       1.1256  0.0254  7497   273 0.35 0.9613  0.042
  4077032 DSCT              1.9789  0.0389  7200   295 0.19 1.4960  0.042
  4077275 DSCT/ROT          0.5168  0.0189  9059   325 0.70 1.3389  0.043
  4078743 DSCT              0.9636  0.0320  8704   324 0.39 1.7777  0.043
  4079482 DSCT              0.5934  0.0176  7960   275 0.68 1.2806  0.042
  4136161 DSCT/ROT          0.8391  0.0225  6645   186 0.61 1.2201  0.042
  4137903 DSCT              0.6927  0.0133  7201   278 0.67 1.0263  0.042
  4138848 DSCT              0.8310  0.0200  6799   207 0.63 1.2841  0.042
  4141155 DSCT              1.2429  0.0242  6657   177 0.38 1.0021  0.042
  4141670 DSCT              0.7867  0.0223  7094   278 0.63 1.3427  0.042
  4142768 DSCT/HRTB         0.6963  0.0227  5638   218 0.63 1.5641  0.043
  4149851 GDORS             0.7982  0.0147  7113   269 0.47 0.9821  0.041
  4150611 DSCT/EB           8.7234  0.1204  7544   226 0.15 0.9255  0.041
  4156254 DSCT/ROT          0.9066  0.0375  6859   227 0.51 1.0928  0.043
  4158822 GDORM             0.8644  0.0235  6824   220 0.41 1.0150  0.042
  4160235 DSCT              0.9768  0.0281  7717   268 0.41 1.1607  0.042
  4164363 GDORS             1.9742  0.0792  7627   118 0.20 0.8417  0.043
  4168574 DSCT              1.1942  0.0355  7853   273 0.32 1.7585  0.042
  4168579 DSCT              0.6788  0.0181  7677   269 0.49 0.9839  0.042
  4170631 DSCT              1.4393  0.0257  7642   267 0.28 1.3765  0.041
  4171102 DSCT              1.1549  0.0297  6930   240 0.32 0.7768  0.042
  4172085 GDORM             0.8596  0.0239  6648   190 0.47 1.0497  0.042
  4174472 DSCT              0.4836  0.0213  8074   279 0.65 1.5370  0.044
  4177905 DSCT              1.2837  0.0273  7298   273 0.37 1.1456  0.042
  4180099 DSCT              0.9326  0.0267  7988   278 0.46 1.0011  0.042
  4180199 DSCT              2.0556  0.1655  7390   271 0.22 1.3102  0.050
  4180375 DSCT              0.6861  0.0230  6902   253 0.62 1.2071  0.043
  4242315 DSCT/ROT          1.0260  0.0220  7129   249 0.49 1.1295  0.042
  4243461 DSCT              0.4232  0.0162  7071   278 0.72 1.3909  0.043
  4243984 DSCT              0.6597  0.0238  7003   271 0.68 1.4755  0.043
  4245701 GDORM             1.7138  0.0440  7015   222 0.28 1.0516  0.042
  4252716 DSCT              0.6827  0.0249  7305   265 0.55 1.5737  0.043
  4252757 DSCT              1.6070  0.0283  7789   268 0.30 1.2661  0.041
  4253413 DSCT              0.5619  0.0157  7437   269 0.56 1.2395  0.042
  4263127 DSCT              0.9873  0.0268  7164   278 0.40 1.1000  0.042
  4264546 DSCT              0.6196  0.1761  6749   219 0.48 1.7772  0.107
  4269332 DSCT              1.3274  0.0253  8216   289 0.33 1.0791  0.042
  4269337 DSCT              1.9804  0.0536  8147   286 0.20 1.0409  0.042
  4271930 DSCT              1.0314  0.0253  8173   280 0.38 1.4012  0.042
  4273425 DSCT/ROT          1.4740  0.0236  7810   269 0.26 1.0064  0.041
  4274480 DSCT              0.5179  0.0150  6987   263 0.54 1.2114  0.042
  4274730 DSCT/ROT          0.6363  0.0277  9109   333 0.51 1.4627  0.044
  4276002 DSCT              1.4161  0.0274  7495   266 0.30 1.0516  0.042
  4277242 DSCT/ROT          1.2824  0.0230  8296   292 0.35 0.9468  0.041
  4281581 DSCT              1.4076  0.0386  8200   289 0.34 1.9854  0.042
  4283747 DSCT              0.9594  0.0392  7454   273 0.39 0.9276  0.043
  4285040 GDORS             0.6632  0.0188  7614   267 0.63 1.0737  0.042
  4285359 DSCT              0.7959  0.0315  7797   273 0.58 1.3714  0.043
  4355012 DSCT              1.0706  0.0222  7113   260 0.44 1.2927  0.042
  4366913 DSCT/ROT          1.2873  0.0270  7617   270 0.32 0.8885  0.042
  4370855 GDORA             0.9607  0.0284  7117   272 0.41 0.9824  0.042
  4372410 DSCT              0.8858  0.0309  7995   281 0.45 1.6035  0.043
  4374812 DSCT/ROT          1.6076  0.0257  6926   215 0.27 1.4385  0.041
  4376648 DSCT/ROT          1.4428  0.0228  6878   210 0.28 1.1674  0.041
  4380834 DSCT              0.7314  0.0234  7165   264 0.53 0.7745  0.042
  4381016 DSCT/ROT          0.4917  0.0184  7147   268 0.64 1.1796  0.043
  4381221 DSCT              0.6626  0.0240  7782   270 0.56 1.5167  0.043
  4383117 DSCT/ROT          1.5949  0.0406  8396   298 0.27 1.2241  0.042
  4383955 DSCT              0.8563  0.0382  7829   269 0.51 1.0679  0.044
  4386091 DSCT              1.1340  0.0288  7625   267 0.36 0.9516  0.042
  4390625 GDORS             0.5804  0.0174  6881   255 0.71 1.0950  0.042
  4390902 DSCT/ROT          0.8522  0.0283  6957   261 0.57 1.3209  0.043
  4391108 DSCT              0.6179  0.0289  7809   270 0.70 1.5188  0.044
  4448157 GDORS             0.7244  0.0197  6726   186 0.67 0.8804  0.042
  4456107 DSCT              0.4232  0.0172  7184   278 0.58 1.3277  0.043
  4457800 GDORM             1.4227  0.0225  7058   252 0.26 1.0273  0.041
  4458172 DSCT              2.9231  0.0326  7737   267 0.17 1.7643  0.041
  4459939 DSCT/ROT          1.1809  0.0341  8232   287 0.36 1.1162  0.042
  4464876 GDORS             1.6720  0.0310  6744   201 0.25 0.7497  0.041
  4466180 GDORM             0.9519  0.0136  6921   262 0.46 0.8437  0.041
  4470415 GDORM             0.6002  0.0192  7328   276 0.47 1.0368  0.042
  4471379 DSCT              0.6240  0.0268  8089   281 0.46 1.5622  0.044
  4472465 DSCT              0.7459  0.0230  7614   266 0.43 1.4898  0.042
  4473083 DSCT              0.6169  0.0142  7605   266 0.47 1.0380  0.042
  4473450 DSCT              0.7021  0.0221  7455   264 0.44 1.2555  0.042
  4476186 DSCT              0.7283  0.0202  7614   265 0.48 1.0683  0.042
  4476836 DSCT/ROT          0.9953  0.0285  6905   221 0.39 1.4562  0.042
  4480321 DSCT/ROT          1.5190  0.0255  7291   271 0.25 1.5112  0.041
  4481004 GDORS             0.9527  0.0275  6947   232 0.40 1.0620  0.042
  4481426 DSCT              0.9803  0.0349  8950   339 0.37 1.3502  0.043
  4481653 GDORS             1.3961  0.0321  6931   231 0.35 1.0187  0.042
  4481700 DSCT              0.5317  0.0200  6934   282 0.63 1.1409  0.043
  4482231 DSCT              0.7313  0.0367  8215   288 0.56 1.4208  0.045
  4488796 DSCT              0.5802  0.0266  7243   272 0.72 1.4363  0.044
  4488840 DSCT              1.5178  0.0319  7275   264 0.24 1.0862  0.042
  4550962 GDORM             2.8590  0.0230  7432   270 0.18 0.8708  0.041
  4556345 DSCT              1.9009  0.0919  7438   269 0.23 1.1269  0.044
  4562615 DSCT              0.7660  0.1433  6867   243 0.44 0.7027  0.077
  4566474 GDORS             2.0678  0.0269  7113   252 0.22 0.8274  0.041
  4566498 GDORS             0.0462  0.3448  6886   240 0.54 3.3627  2.598
  4569150 DSCT              0.8126  0.0252  7608   269 0.41 1.4285  0.042
  4570326 DSCT/ROT          2.5725  0.0244  7000   149 0.14 1.4994  0.041
  4570408 DSCT/ROT          0.7907  0.0280  8461   305 0.42 1.4652  0.043
