kic,source_id,sdss_g,parallax,parallax_error,Ag_Green_2017,Ag_Green_2017_sigma,Teffi,e_Teffi,FeHi,e_FeHi,new_logg,new_logg_std,new_radius,new_r_std,new_mass,new_mass_std,mass_qflag,loglbol_g_median,loglbol_sigp,loglbol_sigm,dSct
6284450,2101712151469359104,11.257,1.485,0.029,0.15,0.03,6532,80,0.08,0.15,3.68,0.08,2.96,0.1,1.52,0.25,0,1.158,0.02,0.021,0
6284575,2101712903081109760,12.679,1.353,0.022,0.2,0.03,6894,200,-0.01,0.3,4.2,0.11,1.51,0.1,1.3,0.25,0,0.665,0.021,0.021,0
6284778,2101665559664194944,13.563,1.302,0.015,0.21,0.02,6579,192,-0.18,0.3,4.35,0.12,1.19,0.07,1.16,0.25,2,0.381,0.018,0.018,0
6284863,2101665521001901952,12.53,1.673,0.023,0.18,0.02,6517,80,0.01,0.15,4.16,0.1,1.51,0.05,1.2,0.25,0,0.568,0.019,0.019,0
6285289,2101663188842315264,13.3,1.213,0.014,0.19,0.04,6875,240,-0.15,0.3,4.33,0.11,1.26,0.1,1.25,0.25,2,0.501,0.022,0.022,0
6285995,2101675042952160384,11.302,1.516,0.036,0.2,0.03,7973,80,0.42,0.15,4.15,0.07,1.76,0.05,1.62,0.25,0,1.05,0.02,0.021,0
6286468,2101670954143339904,13.373,0.904,0.019,0.28,0.04,7209,246,-0.3,0.3,4.19,0.11,1.56,0.12,1.4,0.25,0,0.774,0.029,0.028,0
6286606,2101671022862834048,14.176,0.93,0.018,0.28,0.04,6518,80,-0.27,0.15,4.24,0.11,1.35,0.05,1.16,0.25,0,0.472,0.028,0.028,0
6286947,2053638818744696064,10.594,0.934,0.029,0.23,0.04,7605,80,0.22,0.15,3.46,0.06,4.56,0.2,2.17,0.25,0,1.798,0.035,0.034,0
6287142,2053639716398962560,11.751,1.798,0.025,0.15,0.03,6876,194,-0.28,0.3,4.1,0.1,1.73,0.1,1.36,0.25,0,0.782,0.02,0.021,0
6287517,2077655936566185856,12.397,0.926,0.022,0.26,0.03,7240,240,-0.2,0.3,3.91,0.09,2.33,0.17,1.63,0.25,0,1.127,0.028,0.028,0
6287993,2077643223463062016,15.42,0.515,0.046,0.26,0.03,6587,230,-0.31,0.3,4.24,0.13,1.36,0.16,1.19,0.25,1,0.497,0.085,0.079,0
6288080,2077642433189087232,13.286,1.182,0.017,0.21,0.03,6651,80,-0.07,0.15,4.21,0.1,1.44,0.05,1.23,0.25,0,0.565,0.021,0.021,0
6288261,2077644219895571840,15.349,0.599,0.022,0.27,0.03,6607,231,0.01,0.3,4.37,0.12,1.17,0.1,1.16,0.25,2,0.372,0.038,0.037,0
6288445,2077640680843361792,14.638,0.558,0.017,0.33,0.03,6702,234,-0.52,0.3,4.07,0.12,1.76,0.14,1.34,0.25,0,0.752,0.033,0.033,0
6288462,2077641299317829248,15.001,0.572,0.02,0.24,0.04,6630,232,-0.36,0.3,4.21,0.13,1.43,0.12,1.22,0.25,1,0.552,0.038,0.038,0
6288968,2077598933760532096,13.981,0.981,0.015,0.17,0.02,6554,229,-0.24,0.3,4.27,0.12,1.28,0.1,1.14,0.25,2,0.433,0.019,0.019,0
6289081,2077599655315091584,11.018,0.775,0.025,0.16,0.02,8009,280,0.21,0.3,3.58,0.08,3.91,0.31,2.13,0.25,0,1.754,0.034,0.034,0
6289383,2077596867875112704,12.212,1.902,0.236,0.18,0.03,6564,80,-0.05,0.15,4.15,0.1,1.54,0.05,1.23,0.25,0,0.599,0.022,0.023,0
6289468,2077597009615318272,9.228,1.915,0.033,0.17,0.03,8150,163,0.0,0.15,3.71,0.07,3.41,0.16,2.17,0.25,0,1.665,0.021,0.022,1
6289567,2077597456291954176,14.708,0.866,0.02,0.21,0.03,6640,232,-0.32,0.3,4.45,0.12,1.06,0.08,1.13,0.25,5,0.29,0.029,0.028,0
