,kic,Type,dSct,gdor
972,6294018,GDORM,,
973,6294889,DSCT,1.0,
974,6301132,DSCT,1.0,
975,6301745,GDORS/ROT,2.0,1.0
976,6301745,GDORS/ROT,2.0,1.0
977,6302589,DSCT,1.0,1.0
978,6302589,DSCT,1.0,1.0
979,6302589,DSCT,1.0,1.0
980,6302592,DSCT/EB,,
981,6302655,DSCT,1.0,
982,6308416,DSCT,1.0,
983,6310397,DSCT/ROT,,
984,6311564,DSCT,1.0,
985,6313843,GDORM,,
986,6314475,DSCT,1.0,
987,6346698,GDORM,,
988,6356928,DSCT,1.0,
989,6357795,DSCT/ROT,1.0,
990,6366512,GDORS,,1.0
991,6366512,GDORS,,1.0
992,6366617,DSCT,1.0,
993,6371322,GDORS,,
994,6372320,DSCT,1.0,
995,6381128,DSCT,1.0,
996,6381306,DSCT,1.0,
997,6381517,GDORM,,
998,6383932,GDORM,,1.0
999,6384854,DSCT,1.0,
1000,6385010,DSCT/ROT,,
1001,6385342,GDORS,,
1002,6387257,DSCT,1.0,
1003,6387770,GDORS,1.0,1.0
1004,6387770,GDORS,1.0,1.0
1005,6387895,GDORS,2.0,1.0
1006,6388333,DSCT,,
1007,6388443,DSCT,1.0,
1008,6389098,DSCT,1.0,1.0
1009,6390013,DSCT/ROT,1.0,
1010,6390243,DSCT,1.0,
1011,6421759,GDORM,,
1012,6428932,DSCT,1.0,
1013,6429742,DSCT,1.0,
1014,6432054,DSCT,1.0,
1015,6441436,DSCT,1.0,
1016,6441729,GDORM,,
1017,6443122,DSCT,1.0,
1018,6443536,GDORA,,
1019,6445116,GDORM,,
1020,6445601,DSCT/EB/ROT,1.0,
1021,6445969,GDORS,2.0,1.0
1022,6445969,GDORS,2.0,1.0
1023,6446951,DSCT,1.0,
1024,6448173,DSCT,1.0,
1025,6448362,DSCT,1.0,
1026,6448666,GDORS,2.0,1.0
1027,6449081,GDORA,1.0,1.0
1028,6451160,GDORS,,
1029,6451605,DSCT,1.0,
1030,6451876,DSCT,1.0,
1031,6462033,GDORM,,
1032,6462185,GDORM,,
1033,6463047,DSCT,1.0,
1034,6464938,DSCT,1.0,
1035,6467639,DSCT,1.0,1.0
1036,6467639,DSCT,1.0,1.0
1037,6467639,DSCT,1.0,1.0
1038,6467726,DSCT,1.0,
1039,6468146,GDORM,1.0,1.0
1040,6468987,GDORS,,1.0
1041,6468987,GDORS,,1.0
1042,6470922,GDORM,1.0,
1043,6470973,DSCT,1.0,1.0
1044,6497003,GDORA,1.0,
1045,6500578,GDORM,,
1046,6508203,DSCT,1.0,
1047,6508478,DSCT/EB,1.0,
1048,6509175,DSCT,1.0,
1049,6511019,DSCT/ROT,1.0,
1050,6511354,DSCT/ROT,1.0,
1051,6516825,GDORM,,
1052,6519869,GDORA,,1.0
1053,6520572,GDORS,,
1054,6520658,GDORM,,
1055,6520969,DSCT,1.0,
1056,6522144,DSCT,1.0,1.0
1057,6522179,DSCT,1.0,
1058,6522735,GDORS,,
1059,6523440,GDORS,,
1060,6531801,GDORS,,1.0
1061,6531801,GDORS,,1.0
1062,6532022,DSCT,1.0,
1063,6546327,DSCT,1.0,
1064,6548709,DSCT,1.0,
1065,6579643,DSCT,1.0,
1066,6584042,DSCT/ROT,,
1067,6586052,DSCT,1.0,
1068,6586055,GDORS,,
1069,6586333,DSCT,1.0,
