,kic
795,7532891
796,7533425
797,7533694
798,7538950
799,7547306
800,7547573
801,7548259
802,7548479
803,7549852
804,7551637
805,7551993
806,7553237
807,7583208
808,7583939
809,7585445
810,7598492
811,7604266
812,7605152
813,7605527
814,7618364
815,7621759
816,7624753
817,7626595
818,7627570
819,7668791
820,7676610
821,7678385
822,7685307
823,7687374
824,7691445
825,7697795
826,7699056
827,7699276
828,7700963
829,7702705
830,7708315
831,7732458
832,7748238
833,7749552
834,7755932
835,7756853
836,7761855
837,7765585
838,7765684
839,7767690
840,7767699
841,7770256
842,7771991
843,7773133
844,7777435
845,7778980
846,7779942
847,7819024
848,7827131
849,7830684
850,7831302
851,7834612
852,7838889
853,7838908
854,7841434
855,7842286
856,7842328
857,7842621
858,7848288
859,7848303
860,7878789
861,7881722
862,7881851
863,7890222
864,7899980
865,7900367
866,7901718
867,7902035
868,7902286
869,7908633
870,7909392
871,7914906
872,7915386
873,7915458
874,7915515
875,7917014
876,7917485
877,7918653
878,7918688
879,7918737
880,7938179
881,7953880
882,7955898
883,7959867
884,7959886
885,7967293
886,7973199
887,7974032
888,7976783
889,7977198
890,7977956
891,7977996
892,7979504
893,7986166
894,8004558
895,8027456
896,8029546
897,8038609
898,8038679
899,8041675
900,8043436
901,8045121
902,8046010
903,8046934
904,8052353
905,8054146
906,8056319
907,8058127
908,8082478
909,8085273
910,8087018
911,8092865
912,8098120
913,8103917
914,8104598
915,8106371
916,8109934
917,8113154
918,8120184
919,8121586
920,8122232
921,8122433
922,8123197
923,8123377
924,8123645
925,8125219
926,8126422
927,8127684
928,8129588
929,8149341
930,8153747
931,8173017
932,8174267
933,8174306
934,8175177
935,8177179
936,8177748
937,8181880
938,8187917
939,8191602
940,8191611
941,8194874
942,8196006
943,8196381
944,8196777
945,8196840
946,8196903
947,8196911
948,8197220
949,8197355
950,8197653
951,8197788
952,8230025
953,8233072
954,8236479
955,8244757
956,8244758
957,8245366
958,8246833
959,8247116
960,8247543
961,8248182
962,8248630
963,8255272
964,8256643
965,8259061
966,8259177
967,8261157
968,8264037
969,8264404
970,8264419
971,8264490
972,8264492
973,8264494
974,8264543
975,8264546
976,8264583
977,8264588
978,8264623
979,8264657
980,8264674
981,8264698
982,8264949
983,8264972
984,8265022
985,8265377
986,8282338
987,8292150
988,8299332
989,8308688
990,8310243
991,8311110
992,8311304
993,8314525
994,8316195
995,8321101
996,8321604
997,8322243
998,8322861
999,8329629
1000,8330102
1001,8330712
1002,8330740
1003,8330778
1004,8330790
1005,8330895
1006,8330910
1007,8331919
1008,8345453
1009,8346686
1010,8352420
1011,8357961
1012,8359671
1013,8362899
1014,8376471
1015,8377511
1016,8380088
1017,8380389
1018,8386122
1019,8388610
1020,8391086
1021,8395203
1022,8396062
1023,8396259
1024,8396791
1025,8396901
1026,8397426
1027,8415752
1028,8420644
1029,8427895
1030,8429528
1031,8429634
